,final_vcpu,final_ram,final_volume
153,14,114,770
154,14,61,310
155,54,115,760
156,47,113,530
157,43,117,570
158,32,66,690
159,31,112,580
160,35,108,700
161,6,6,480
162,7,96,470
163,41,70,790
164,14,109,650
165,59,98,570
166,43,68,820
167,28,110,510
168,28,87,700
169,49,81,850
170,54,65,680
171,44,72,840
172,54,74,880
173,50,83,870
174,47,63,660
175,32,107,520
176,40,103,460
177,33,65,450
178,56,120,890
179,40,66,730
180,46,81,840
181,51,112,520
182,55,86,620
183,54,64,730
184,15,112,880
185,63,76,900
186,40,119,610
187,15,96,850
188,46,69,890
189,33,105,500
190,10,11,470
191,14,17,490
192,45,97,860
193,7,97,730
194,52,99,870
195,53,66,800
196,55,63,790
197,29,109,520
198,47,66,760
199,33,36,320
200,12,118,580
201,7,19,420
202,58,65,720
203,18,62,760
204,67,80,830
205,46,64,640
206,58,118,700
207,51,61,660
208,31,102,520
209,19,79,480
210,46,91,440
211,41,114,620
212,71,75,760
213,15,114,880
214,51,55,780
215,60,81,890
216,54,119,780
217,45,45,510
218,54,91,900
219,69,69,730
220,56,73,810
221,63,88,890
222,8,107,740
223,56,120,640
224,20,30,320
225,18,38,400
226,55,78,840
227,33,93,590
228,52,105,620
229,41,37,600
230,19,69,830
231,33,106,520
232,59,113,840
233,20,96,590
234,13,38,310
235,58,112,830
236,18,71,820
237,52,99,860
238,13,36,390
239,35,94,450
240,53,81,880
241,49,120,660
242,18,98,780
243,9,114,620
244,57,104,830
245,52,70,810
246,9,103,560
247,32,112,610
248,16,107,890
249,40,115,830
250,32,105,610
251,63,69,770
252,15,70,490
253,57,67,800
254,57,94,810
255,69,80,860
256,50,66,870
257,35,98,640
258,10,53,330
259,45,117,620
260,37,104,550
261,58,110,800
262,31,35,800
263,41,72,890
264,42,107,660
265,35,99,870
266,57,95,680
267,18,120,880
268,32,94,490
269,42,107,890
270,45,75,880
271,32,94,690
272,17,24,670
273,33,103,810
274,32,84,610
275,18,81,840
276,37,108,880
277,27,56,440
278,32,87,460
279,17,38,690
280,54,66,890
281,31,118,750
282,43,49,460
283,41,75,800
284,4,85,400
285,54,105,800
286,33,75,800
287,3,85,750
288,55,87,900
289,40,111,890
290,27,105,490
291,58,108,650
292,54,70,510
293,46,116,630
294,1,33,400
295,65,85,890
296,44,103,700
297,58,97,620
298,15,64,870
299,59,114,810
300,35,46,390
301,41,66,790
302,57,100,450
303,37,101,820
304,42,119,730
305,52,57,640
306,13,36,320
307,40,118,800
308,18,102,550
309,50,61,900
310,47,112,720
311,53,107,650
312,54,79,790
313,3,31,440
314,52,94,860
315,3,31,470
316,20,97,840
317,34,75,820
318,58,106,760
319,38,109,710
320,6,25,370
321,58,88,770
322,16,55,540
323,16,70,610
324,16,32,470
325,17,76,770
326,16,116,620
327,39,110,780
328,60,92,530
329,44,70,710
330,28,60,720
331,58,61,820
332,45,109,760
333,34,98,740
334,18,87,510
335,15,82,860
336,31,116,830
337,45,78,570
338,42,103,670
339,36,47,340
340,19,99,550
341,54,65,840
342,58,66,710
343,49,64,690
344,38,64,570
345,48,84,700
346,43,120,800
347,33,61,800
348,7,8,200
349,39,75,770
350,44,40,810
351,33,51,650
352,47,120,820
353,35,117,750
354,40,119,600
355,11,24,880
356,47,81,820
357,54,67,670
358,51,65,720
359,47,79,800
360,56,87,860
361,31,99,670
362,58,78,870
363,38,109,690
364,32,109,720
365,16,21,440
366,42,107,890
367,39,82,430
368,49,111,680
369,47,113,680
370,38,68,600
371,55,101,640
372,60,67,890
373,40,56,820
374,45,116,740
375,56,119,690
376,29,31,400
377,56,90,880
378,54,105,620
379,69,71,770
380,38,102,830
381,8,8,760
382,17,87,780
383,57,101,570
384,18,103,580
385,13,16,620
386,49,120,840
387,81,86,880
388,2,59,350
389,34,61,670
390,42,67,800
391,27,27,340
392,33,74,870
393,34,58,330
394,59,103,880
395,48,79,830
396,53,76,440
397,46,80,800
398,55,70,900
399,35,73,740
400,10,115,900
401,61,69,820
402,60,91,790
403,37,101,870
404,79,83,860
405,43,61,660
406,37,74,490
407,34,96,520
408,17,102,800
409,14,118,610
410,27,34,660
411,16,109,730
412,43,78,820
413,26,28,540
414,10,38,770
415,29,99,610
416,51,113,630
417,46,114,660
418,34,75,900
419,26,27,310
420,51,70,710
421,48,79,710
422,14,115,840
423,8,35,500
424,58,64,790
425,36,110,900
426,16,26,760
427,48,79,840
428,32,63,820
429,57,94,480
430,38,67,840
431,22,41,540
432,53,119,820
433,45,62,760
434,59,107,590
435,53,64,690
436,47,39,890
437,52,71,720
438,42,114,700
439,50,69,580
440,60,95,670
441,39,56,470
442,39,118,880
443,20,30,680
444,35,64,820
445,50,51,620
446,55,106,470
447,38,106,670
448,63,67,850
449,59,76,880
450,41,70,640
451,9,78,480
452,38,99,880
453,77,78,780
454,18,109,600
455,31,96,420
456,7,66,630
457,51,118,800
458,38,53,370
459,49,109,710
460,24,34,340
461,36,61,870
462,8,36,320
463,44,114,650
464,49,56,500
465,11,64,750
466,7,13,150
467,43,102,490
468,36,88,880
469,45,114,640
470,43,108,850
471,12,75,760
472,47,70,370
473,18,25,610
474,13,53,480
475,12,63,640
476,30,34,820
477,52,63,730
478,52,114,610
479,50,107,540
480,48,74,880
481,42,81,460
482,71,72,720
483,33,103,780
484,46,109,660
485,5,31,710
486,6,101,800
487,41,79,790
488,18,97,850
489,28,87,470
490,60,63,810
491,20,60,340
492,39,118,680
493,62,79,870
494,12,102,850
495,33,117,870
496,55,120,680
497,60,88,890
498,76,81,850
499,31,120,840
500,65,75,780
501,18,106,640
502,72,82,830
503,18,104,500
504,41,40,590
505,31,106,670
506,18,69,510
507,53,106,580
508,35,105,640
509,53,111,900
510,33,120,900
511,33,61,900
512,55,91,740
513,2,92,560
514,50,67,750
515,32,66,660
516,34,108,850
517,56,78,480
518,20,115,620
519,36,112,760
520,37,38,510
521,19,104,560
522,16,90,880
523,55,77,830
524,13,112,870
525,38,105,800
526,13,17,290
527,15,40,810
528,15,71,830
529,36,39,650
530,34,59,480
531,56,108,740
532,59,101,720
533,26,60,350
534,13,30,810
535,8,39,650
536,40,77,900
537,61,73,860
538,18,113,610
539,45,80,830
540,41,82,880
541,17,109,620
542,33,98,650
543,27,56,710
544,49,109,540
545,11,93,610
546,32,85,860
547,49,105,840
548,12,66,860
549,33,77,870
550,20,104,460
551,40,100,790
552,13,19,740
553,20,107,830
554,42,69,710
555,52,76,770
556,16,67,890
557,31,64,780
558,41,66,850
559,57,83,680
560,70,78,870
561,60,66,730
562,44,98,760
563,59,97,440
564,43,75,760
565,42,58,840
566,33,109,740
567,50,76,830
568,39,111,710
569,45,73,840
570,48,117,820
571,46,37,800
572,18,71,800
573,14,111,900
574,60,89,900
575,41,114,870
576,56,65,370
577,46,79,850
578,17,85,820
579,43,83,830
580,10,106,780
581,16,56,830
582,18,86,780
583,17,38,850
584,50,71,900
585,36,119,900
586,5,31,340
587,34,53,410
588,60,111,820
589,60,117,700
590,54,117,770
591,42,68,870
592,34,100,810
593,53,110,750
594,20,62,640
595,46,61,830
596,47,82,880
597,12,83,850
598,32,99,800
599,28,74,680
600,55,66,860
601,18,33,620
602,44,72,890
603,58,110,810
604,50,66,460
605,10,114,900
606,51,83,880
607,45,61,790
608,60,102,620
609,59,97,520
610,48,74,860
611,15,113,590
612,29,108,620
613,53,106,710
614,51,118,750
615,15,36,800
616,13,93,450
617,12,78,810
618,78,83,850
619,37,111,610
620,43,108,880
621,51,104,790
622,47,65,860
623,1,13,260
624,45,37,640
625,59,96,490
626,40,115,650
627,14,101,690
628,58,73,390
629,17,118,830
630,7,81,440
631,52,66,740
632,47,59,810
633,35,100,560
634,42,65,810
635,50,62,770
636,54,104,870
637,48,79,880
638,32,111,620
639,46,112,680
640,34,63,650
641,45,61,660
642,31,109,690
643,30,79,530
644,3,3,270
645,7,16,340
646,20,37,470
647,35,104,620
648,43,111,580
649,40,87,900
650,18,35,690
651,35,77,790
652,18,29,730
653,51,64,700
654,34,110,810
655,11,38,540
656,40,53,370
657,44,72,760
658,51,108,690
659,45,52,370
660,37,113,730
661,37,74,770
662,23,34,540
663,1,13,490
664,56,118,690
665,33,111,830
666,14,66,800
667,2,85,340
668,34,109,610
669,48,70,600
670,55,63,700
671,43,68,770
672,53,81,390
673,25,29,420
674,48,98,510
675,44,105,460
676,1,7,360
677,3,77,630
678,53,62,630
679,41,37,760
680,60,99,510
681,31,47,460
682,12,85,890
683,43,87,890
684,15,40,740
685,48,63,890
686,20,34,320
687,59,112,560
688,36,90,540
689,18,99,620
690,42,70,840
691,36,109,640
692,53,77,840
693,52,69,850
694,58,70,430
695,57,72,880
696,47,78,820
697,41,72,720
698,36,113,630
699,13,74,530
700,10,60,890
701,7,16,740
702,21,33,510
703,12,38,880
704,27,49,490
705,52,117,720
706,59,106,800
707,51,88,890
708,14,113,710
709,43,79,880
710,44,111,570
711,38,100,840
712,14,98,640
713,45,62,820
714,8,60,780
715,53,77,770
716,35,80,880
717,29,50,520
718,52,107,720
719,43,112,610
720,56,87,630
721,19,38,670
722,49,77,880
723,37,62,670
724,34,101,680
725,55,96,810
726,23,54,310
727,52,66,780
728,11,63,670
729,54,70,850
730,5,15,190
731,52,106,490
732,55,71,630
733,32,34,710
734,56,64,830
735,51,100,790
736,5,95,610
737,9,34,480
738,19,33,840
739,4,14,480
740,74,76,890
741,2,94,420
742,17,77,800
743,36,114,710
744,63,63,650
745,40,100,900
746,69,71,780
747,11,62,670
748,54,118,830
749,43,73,860
750,58,68,710
751,34,86,890
752,7,71,580
753,9,59,620
754,53,64,350
755,17,101,880
756,17,118,590
757,43,113,820
758,23,69,370
759,32,110,580
760,17,106,680
761,18,34,540
762,58,71,880
763,43,94,700
764,41,111,550
765,18,98,520
766,12,57,700
767,39,112,810
768,53,65,790
769,54,79,600
770,31,108,590
771,30,77,540
772,14,62,640
773,34,100,440
774,46,120,870
775,27,81,600
776,52,104,610
777,39,111,680
778,31,119,830
779,28,65,740
780,47,111,700
781,51,106,750
782,46,39,470
783,35,104,860
784,33,107,590
785,19,31,710
786,52,67,780
787,47,62,730
788,14,98,630
789,57,93,690
790,54,97,730
791,42,39,870
792,38,100,550
793,27,84,780
794,39,111,570
795,37,115,830
796,12,93,770
797,40,82,720
798,51,55,450
799,38,52,640
800,42,98,610
801,17,53,320
802,43,104,650
803,46,69,760
804,39,107,800
805,20,34,550
806,46,103,520
807,50,109,770
808,43,110,740
809,43,71,750
810,50,64,810
811,32,83,870
812,49,107,810
813,40,75,570
814,18,37,700
815,3,88,640
816,35,65,420
817,7,10,440
818,36,109,700
819,51,75,770
820,15,29,470
821,54,98,780
822,42,61,680
823,54,118,850
824,83,83,900
825,4,90,390
826,35,105,710
827,14,63,660
828,36,68,720
829,43,107,650
830,41,111,660
831,56,99,620
832,34,65,360
833,7,108,770
834,36,115,660
835,52,112,600
836,41,66,740
837,37,89,810
838,13,74,830
839,20,30,580
840,56,105,790
841,48,68,860
842,54,116,690
843,38,101,500
844,55,94,750
845,60,109,540
846,8,39,660
847,31,116,760
848,41,68,720
849,17,84,870
850,56,86,780
851,27,34,340
852,37,114,790
853,7,106,800
854,57,100,750
855,33,69,820
856,47,103,900
857,65,65,690
858,9,27,550
859,52,65,660
860,54,115,630
861,54,73,750
862,39,71,740
863,45,58,850
864,33,99,870
865,48,62,610
866,50,114,850
867,32,117,600
868,29,57,780
869,16,34,850
870,40,120,650
871,58,79,810
872,67,75,770
873,72,73,820
874,48,63,890
875,47,97,460
876,17,117,730
877,50,62,860
878,48,88,570
879,46,114,740
880,56,119,750
881,38,113,560
882,56,63,640
883,10,114,740
884,59,94,370
885,60,63,880
886,48,115,570
887,18,63,750
888,45,112,570
889,31,53,540
890,7,77,460
891,34,65,340
892,48,119,900
893,55,68,580
894,6,19,640
895,17,109,880
896,59,102,750
897,54,107,620
898,42,61,690
899,20,113,820
900,35,110,540
901,45,120,680
902,15,76,790
903,53,64,780
904,13,14,340
905,29,55,880
906,53,74,890
907,6,32,330
908,17,53,600
909,45,111,800
910,2,78,310
911,18,77,730
912,30,70,700
913,74,86,900
914,16,103,740
915,32,76,490
916,8,22,390
917,39,110,600
918,12,110,790
919,6,37,330
920,40,93,840
921,29,39,370
922,19,97,870
923,4,16,400
924,57,111,860
925,58,68,730
926,44,112,540
927,57,85,890
928,17,40,620
929,59,107,630
930,60,91,680
931,48,39,870
932,39,38,820
933,9,112,870
934,58,118,840
935,46,63,850
936,20,42,520
937,31,72,880
938,2,86,480
939,43,111,640
940,1,6,220
941,33,83,500
942,40,100,630
943,35,66,840
944,60,91,580
945,17,29,590
946,46,96,430
947,43,107,570
948,48,74,830
949,23,61,420
950,44,117,770
951,46,89,880
952,50,110,860
953,8,69,350
954,39,113,740
955,28,51,410
956,8,81,390
957,5,92,750
958,33,115,550
959,36,68,790
960,27,34,460
961,42,66,800
962,56,70,890
963,52,90,870
964,9,19,860
965,54,115,860
966,50,112,700
967,51,56,790
968,43,105,650
969,71,82,870
970,6,12,680
971,15,71,760
972,12,74,760
973,39,78,450
974,51,63,810
975,10,37,800
976,39,102,580
977,47,102,460
978,9,100,720
979,58,74,810
980,30,74,690
981,31,108,530
982,66,76,870
983,52,116,800
984,53,65,810
985,42,82,860
986,31,67,820
987,18,67,520
988,34,75,460
989,17,104,830
990,49,62,900
991,52,83,810
992,32,115,590
993,17,97,890
994,51,89,700
995,1,36,470
996,55,113,860
997,46,77,820
998,57,104,490
999,56,63,680
1000,13,40,670
1001,8,35,510
1002,36,112,780
1003,5,95,850
1004,16,84,890
1005,7,32,780
1006,41,60,770
1007,52,86,820
1008,45,40,830
1009,19,58,540
1010,59,65,820
1011,34,105,840
1012,49,65,650
1013,48,118,860
1014,6,59,330
1015,55,63,630
1016,37,77,790
1017,43,73,790
1018,14,111,780
1019,17,98,850
1020,7,18,240
1021,43,58,320
1022,51,67,690
1023,27,49,470
1024,5,96,550
1025,28,87,850
1026,43,107,500
1027,44,104,670
1028,29,80,830
1029,49,107,740
1030,55,72,830
1031,71,72,850
1032,50,87,890
1033,16,118,850
1034,50,71,740
1035,40,115,870
1036,17,63,450
1037,19,111,600
1038,63,73,750
1039,56,66,770
1040,4,19,350
1041,50,64,670
1042,16,112,800
1043,54,117,900
1044,7,100,880
1045,18,102,580
1046,54,62,870
1047,40,117,640
1048,56,118,730
1049,37,67,830
1050,20,38,420
1051,32,77,900
1052,41,78,840
1053,40,78,790
1054,50,107,870
1055,13,120,750
1056,17,98,830
1057,38,98,890
1058,38,78,540
1059,5,18,850
1060,31,103,780
1061,47,112,560
1062,33,82,870
1063,24,68,480
1064,5,104,450
1065,19,62,800
1066,26,94,580
1067,18,95,810
1068,51,113,850
1069,56,111,510
1070,80,80,890
1071,53,82,840
1072,6,42,460
1073,31,100,770
1074,54,103,540
1075,4,72,440
1076,51,99,570
1077,17,76,890
1078,38,115,710
1079,42,102,900
1080,18,35,720
1081,11,66,520
1082,36,54,540
1083,16,106,810
1084,51,103,730
1085,20,40,590
1086,53,100,750
1087,59,69,810
1088,14,69,730
1089,60,118,850
1090,53,117,580
1091,28,63,510
1092,47,68,860
1093,12,67,830
1094,80,87,880
1095,45,74,850
1096,38,78,600
1097,45,104,630
1098,18,70,880
1099,55,75,570
1100,53,84,850
1101,38,102,680
1102,32,67,830
1103,4,25,890
1104,19,38,390
1105,34,109,550
1106,11,26,870
1107,50,84,860
1108,55,109,590
1109,19,104,740
1110,59,78,450
1111,53,119,640
1112,31,95,700
1113,44,70,360
1114,35,109,890
1115,19,87,780
1116,44,94,440
1117,10,11,740
1118,53,120,720
1119,13,87,890
1120,49,71,820
1121,42,54,490
1122,35,35,420
1123,46,70,860
1124,20,70,720
1125,31,119,600
1126,44,78,890
1127,34,68,850
1128,4,35,360
1129,52,108,560
1130,56,71,720
1131,32,86,870
1132,20,119,740
1133,69,89,900
1134,54,99,540
1135,28,97,900
1136,55,93,750
1137,20,34,420
1138,8,108,550
1139,83,86,870
1140,38,89,720
1141,57,82,830
1142,43,58,460
1143,53,68,720
1144,54,62,780
1145,45,110,740
1146,20,38,360
1147,20,94,710
1148,20,61,830
1149,42,111,790
1150,49,70,710
1151,29,92,740
1152,47,63,780
1153,40,104,500
1154,51,115,600
1155,42,117,880
1156,33,113,790
1157,60,101,630
1158,17,36,580
1159,40,107,580
1160,9,37,350
1161,36,74,750
1162,47,77,800
1163,20,39,900
1164,48,63,640
1165,46,66,370
1166,47,78,850
1167,45,73,570
1168,1,8,90
1169,37,80,620
1170,42,68,800
1171,46,73,820
1172,37,64,830
1173,52,61,670
1174,41,120,860
1175,50,102,630
1176,16,76,820
1177,36,73,750
1178,38,63,840
1179,26,90,650
1180,49,81,880
1181,42,117,680
1182,1,37,540
1183,54,118,630
1184,45,63,840
1185,48,66,760
1186,16,37,710
1187,37,109,730
1188,32,94,530
1189,51,119,860
1190,28,35,650
1191,12,71,720
1192,49,65,810
1193,52,114,580
1194,18,26,730
1195,10,33,850
1196,3,81,610
1197,12,81,880
1198,7,29,310
1199,49,120,870
1200,52,90,840
1201,42,67,700
1202,57,66,850
1203,34,81,890
1204,3,81,890
1205,37,74,800
1206,37,105,530
1207,35,40,650
1208,45,113,780
1209,18,106,730
1210,42,110,890
1211,41,62,640
1212,36,67,880
1213,41,54,830
1214,39,102,430
1215,45,66,860
1216,53,115,870
1217,38,94,710
1218,6,86,370
1219,34,96,450
1220,5,101,430
1221,13,30,430
1222,62,76,760
1223,12,93,800
1224,69,69,900
1225,16,70,860
1226,17,38,820
1227,53,120,860
1228,44,63,840
1229,46,74,790
1230,14,95,540
1231,3,25,480
1232,13,25,820
1233,11,93,540
1234,15,65,890
1235,10,97,790
1236,11,44,460
1237,41,119,600
1238,44,64,710
1239,62,71,760
1240,52,70,850
1241,51,112,800
1242,55,93,850
1243,45,106,820
1244,37,118,890
1245,50,87,890
1246,43,93,850
1247,55,83,570
1248,54,111,890
1249,8,109,790
1250,58,70,340
1251,15,71,400
1252,7,78,530
1253,40,84,710
1254,55,65,860
1255,6,38,480
1256,49,74,820
1257,18,19,370
1258,53,63,870
1259,56,72,800
1260,57,61,690
1261,19,99,890
1262,53,116,710
1263,37,39,370
1264,34,108,750
1265,8,85,840
1266,59,75,890
1267,37,78,860
1268,11,20,500
1269,39,71,470
1270,59,96,790
1271,38,102,820
1272,31,120,850
1273,26,70,450
1274,18,120,630
1275,33,98,500
1276,44,47,390
1277,49,69,810
1278,60,62,740
1279,52,71,670
1280,54,119,600
1281,29,48,500
1282,30,64,360
1283,54,98,680
1284,59,100,710
1285,58,63,700
1286,49,111,520
1287,4,89,870
1288,14,67,790
1289,14,50,510
1290,41,101,710
1291,56,88,870
1292,73,75,800
1293,43,66,790
1294,42,72,740
1295,55,99,850
1296,49,51,400
1297,10,55,730
1298,15,20,280
1299,17,120,800
1300,43,88,900
1301,13,84,840
1302,52,75,770
1303,20,70,860
1304,47,117,880
1305,34,72,760
1306,25,28,350
1307,33,116,810
1308,55,87,760
1309,40,117,570
1310,53,72,830
1311,20,31,630
1312,16,76,890
1313,14,98,880
1314,38,38,350
1315,7,16,260
1316,63,66,730
1317,19,38,480
1318,37,104,790
1319,38,120,770
1320,44,60,540
1321,16,85,650
1322,54,69,770
1323,47,61,770
1324,50,65,820
1325,53,73,820
1326,28,35,680
1327,18,82,820
1328,10,22,360
1329,8,114,690
1330,31,108,850
1331,19,93,750
1332,19,30,340
1333,5,24,510
1334,36,76,760
1335,53,104,690
1336,12,59,800
1337,10,53,370
1338,55,71,840
1339,48,75,750
1340,21,27,440
1341,53,113,880
1342,7,107,610
1343,55,71,710
1344,33,105,570
1345,40,78,800
1346,20,30,400
1347,49,40,870
1348,53,97,600
1349,47,54,530
1350,42,65,850
1351,11,17,780
1352,54,65,380
1353,8,102,620
1354,57,64,860
1355,76,76,870
1356,46,108,750
1357,55,116,750
1358,29,38,560
1359,51,120,600
1360,34,68,700
1361,28,29,320
1362,47,114,670
1363,20,101,410
1364,34,86,880
1365,51,118,730
1366,9,52,460
1367,43,62,830
1368,38,37,650
1369,33,98,390
1370,52,102,810
1371,19,97,860
1372,16,18,450
1373,15,109,710
1374,7,95,890
1375,47,40,900
1376,48,117,570
1377,57,62,350
1378,47,74,780
1379,41,71,790
1380,55,82,880
1381,57,69,830
1382,53,80,860
1383,52,115,680
1384,8,31,710
1385,4,20,340
1386,47,118,780
1387,34,109,490
1388,15,119,620
1389,37,115,740
1390,40,63,790
1391,42,120,670
1392,14,117,630
1393,33,80,850
1394,18,100,780
1395,34,48,350
1396,37,120,870
1397,23,56,310
1398,18,109,620
1399,14,68,900
1400,20,35,850
1401,41,101,480
1402,48,62,760
1403,11,103,600
1404,15,81,840
1405,50,114,540
1406,10,9,210
1407,44,63,880
1408,52,73,750
1409,55,63,800
1410,50,116,730
1411,46,64,870
1412,46,109,700
1413,33,109,870
1414,41,63,900
1415,55,70,580
1416,20,40,480
1417,13,67,680
1418,44,77,470
1419,54,116,780
1420,49,77,510
1421,35,107,750
1422,19,75,830
1423,31,36,370
1424,16,66,740
1425,71,72,750
1426,56,68,750
1427,3,18,350
1428,19,35,370
1429,41,69,720
1430,15,88,870
1431,58,114,810
1432,6,18,320
1433,16,34,820
1434,45,99,850
1435,41,61,840
1436,36,54,550
1437,50,69,730
1438,56,71,870
1439,14,65,830
1440,5,88,670
1441,41,118,580
1442,8,16,540
1443,56,104,840
1444,14,63,810
1445,33,61,640
1446,58,94,510
1447,20,22,270
1448,17,68,390
1449,56,83,690
1450,3,6,280
1451,54,99,770
1452,44,106,680
1453,34,65,720
1454,36,74,790
1455,33,114,840
1456,60,82,880
1457,46,75,800
1458,51,120,890
1459,47,83,860
1460,40,61,820
1461,54,101,650
1462,33,97,540
1463,37,65,810
1464,19,78,600
1465,44,106,710
1466,44,63,770
1467,16,106,820
1468,56,107,630
1469,11,78,840
1470,55,115,770
1471,59,112,540
1472,43,116,810
1473,46,115,630
1474,17,119,730
1475,19,30,750
1476,17,62,630
1477,31,114,670
1478,46,67,620
1479,60,69,780
1480,14,79,830
1481,39,112,870
1482,36,113,620
1483,13,27,350
1484,46,111,790
1485,18,77,560
1486,41,112,710
1487,54,79,650
1488,42,102,470
1489,59,118,700
1490,58,63,720
1491,19,107,730
1492,20,59,390
1493,40,118,710
1494,37,78,800
1495,58,85,580
1496,7,17,700
1497,42,75,890
1498,12,82,850
1499,7,77,660
1500,37,112,880
1501,29,37,610
1502,29,51,680
1503,41,118,650
1504,49,116,570
1505,17,115,840
1506,19,99,780
1507,54,115,880
1508,20,32,380
1509,50,116,790
1510,42,70,810
1511,11,84,600
1512,10,55,400
1513,49,71,880
1514,33,63,650
1515,31,54,840
1516,11,90,570
1517,35,81,870
1518,53,118,600
1519,3,5,330
1520,60,61,780
1521,42,116,850
1522,34,112,620
1523,58,112,710
1524,64,80,870
1525,31,113,580
1526,7,7,160
1527,9,96,600
1528,42,39,680
1529,34,105,450
1530,26,43,500
1531,33,100,630
1532,11,75,750
1533,17,113,740
1534,20,32,470
1535,41,73,820
1536,41,75,900
1537,54,118,880
1538,10,17,630
1539,20,113,650
1540,26,68,630
1541,52,74,750
1542,52,115,900
1543,7,72,640
1544,55,90,760
1545,16,71,720
1546,54,66,740
1547,14,55,590
1548,32,113,710
1549,39,110,730
1550,63,68,680
1551,58,90,850
1552,25,105,500
1553,51,106,780
1554,34,80,800
1555,18,97,880
1556,50,76,880
1557,41,61,650
1558,20,62,660
1559,15,66,530
1560,53,56,580
1561,46,53,790
1562,19,112,680
1563,55,71,850
1564,50,109,630
1565,47,116,790
1566,33,93,710
1567,63,66,710
1568,54,80,660
1569,15,34,630
1570,43,114,860
1571,58,63,890
1572,43,40,500
1573,36,105,580
1574,57,107,720
1575,18,108,860
1576,49,110,690
1577,49,56,890
1578,55,61,720
1579,64,64,650
1580,43,62,720
1581,44,84,900
1582,58,84,890
1583,33,95,720
1584,49,56,360
1585,60,111,690
1586,13,13,130
1587,36,90,580
1588,63,69,890
1589,45,88,890
1590,34,67,660
1591,57,75,550
1592,57,61,790
1593,10,13,250
1594,27,102,730
1595,19,76,360
1596,46,113,810
1597,54,109,870
1598,22,26,340
1599,37,117,830
1600,33,73,850
1601,55,65,620
1602,35,103,840
1603,32,70,890
1604,53,77,620
1605,48,69,720
1606,7,110,690
1607,65,69,760
1608,41,76,870
1609,60,66,680
1610,18,37,450
1611,7,11,290
1612,13,62,890
1613,44,72,840
1614,40,108,740
1615,41,110,900
1616,2,91,580
1617,5,26,520
1618,28,66,680
1619,7,107,530
1620,58,116,840
1621,42,107,780
1622,6,35,490
1623,16,103,870
1624,50,64,740
1625,62,85,880
1626,31,71,850
1627,36,101,850
1628,39,51,510
1629,31,53,380
1630,37,101,620
1631,34,100,640
1632,26,52,380
1633,41,51,550
1634,16,108,660
1635,37,103,620
1636,54,72,790
1637,32,113,600
1638,52,118,740
1639,66,66,830
1640,20,64,780
1641,44,89,780
1642,6,97,890
1643,2,84,520
1644,36,114,560
1645,70,81,840
1646,30,86,510
1647,17,74,850
1648,60,90,580
1649,38,62,670
1650,42,103,750
1651,13,82,450
1652,12,61,890
1653,2,7,300
1654,38,117,720
1655,58,110,710
1656,33,68,770
1657,37,66,710
1658,12,12,900
1659,38,106,780
1660,28,65,710
1661,41,104,660
