,final_vcpu,final_ram,final_volume
0,42,61,660
1,12,23,230
2,42,72,850
3,15,37,630
4,12,117,780
5,28,38,480
6,20,88,400
7,31,59,310
8,38,103,760
9,17,63,890
10,47,118,680
11,55,99,610
12,41,63,660
13,55,88,730
14,9,119,680
15,53,64,800
16,8,33,380
17,19,79,450
18,53,62,680
19,16,112,650
20,43,74,890
21,7,51,390
22,9,83,610
23,19,120,870
24,7,102,670
25,58,113,820
26,50,114,620
27,32,108,880
28,65,72,850
29,55,85,610
30,1,9,130
31,3,93,600
32,8,12,260
33,30,58,380
34,59,76,900
35,58,68,800
36,41,62,880
37,47,72,760
38,7,95,580
39,11,61,900
40,27,39,390
41,55,79,720
42,19,38,440
43,4,27,800
44,39,78,830
45,34,74,790
46,33,102,500
47,14,63,780
48,69,80,850
49,54,114,640
50,32,107,820
51,35,106,760
52,7,88,690
53,18,81,850
54,19,114,600
55,25,56,550
56,7,104,550
57,51,72,740
58,51,75,770
59,46,69,840
60,13,61,640
61,44,66,690
62,44,115,720
63,34,99,900
64,9,99,520
65,37,62,770
66,32,114,650
67,18,81,900
68,54,71,770
69,51,81,480
70,66,75,890
71,15,26,400
72,11,76,890
73,59,103,650
74,54,66,790
75,72,88,890
76,16,116,780
77,48,111,620
78,53,67,850
79,37,57,360
80,53,77,630
81,14,71,890
82,16,40,510
83,39,35,800
84,44,91,430
85,25,32,490
86,19,112,640
87,45,114,850
88,46,109,900
89,12,23,370
90,46,101,540
91,17,67,750
92,4,15,290
93,44,63,500
94,5,14,190
95,68,80,840
96,54,71,640
97,47,75,820
98,36,100,790
99,50,100,800
100,40,70,840
101,59,105,890
102,40,78,850
103,28,111,560
104,51,73,900
105,28,102,620
106,11,58,900
107,57,91,390
108,45,106,780
109,26,38,320
110,44,67,790
111,20,110,820
112,19,87,650
113,33,110,740
114,33,104,450
115,47,71,880
116,6,84,430
117,29,49,380
118,55,115,640
119,19,96,850
120,29,51,340
121,9,31,370
122,38,116,870
123,1,17,220
124,37,119,640
125,6,79,340
126,56,112,590
127,60,62,850
128,55,111,620
129,17,108,500
130,17,33,800
131,46,65,900
132,41,111,610
133,17,28,710
134,32,119,900
135,41,104,500
136,56,101,590
137,37,107,900
138,46,62,900
139,49,112,600
140,9,117,760
141,83,85,880
142,32,94,440
143,55,73,780
144,56,115,800
145,11,19,560
146,20,107,870
147,56,103,480
148,7,15,420
149,51,117,800
150,45,119,630
151,18,83,770
152,36,71,720
