,final_vcpu,final_ram,final_volume
0,42,61,660
1,9,21,210
2,42,72,850
3,9,31,630
4,4,117,780
5,20,33,480
6,16,59,400
7,25,48,310
8,26,77,760
9,17,63,890
10,30,103,680
11,43,67,610
12,30,46,660
13,44,55,730
14,3,119,680
15,53,64,800
16,6,26,380
17,15,55,450
18,53,62,680
19,10,95,650
20,43,74,890
21,5,42,390
22,6,59,610
23,18,120,870
24,3,84,670
25,54,102,820
26,35,96,620
27,32,108,880
28,65,72,850
29,43,56,610
30,1,7,120
31,1,66,600
32,7,11,230
33,24,48,380
34,59,76,900
35,58,68,800
36,41,62,880
37,47,72,760
38,5,68,580
39,11,61,900
40,19,34,390
41,45,50,720
42,16,33,440
43,2,19,800
44,39,78,830
45,34,74,790
46,33,102,500
47,14,63,780
48,69,80,850
49,43,99,640
50,21,90,820
51,23,84,760
52,5,63,690
53,18,81,850
54,16,102,600
55,20,44,550
56,5,84,550
57,51,72,740
58,51,75,770
59,46,69,840
60,13,61,640
61,44,66,690
62,44,115,720
63,34,99,900
64,6,73,520
65,37,62,770
66,32,114,650
67,18,81,900
68,54,71,770
69,37,58,480
70,66,75,890
71,13,21,310
72,11,76,890
73,53,78,650
74,54,66,790
75,72,88,890
76,11,107,780
77,48,111,620
78,53,67,850
79,28,45,360
80,39,55,630
81,14,71,890
82,10,36,510
83,26,27,800
84,31,65,430
85,21,28,410
86,16,98,640
87,27,100,850
88,46,109,900
89,9,18,370
90,33,73,540
91,17,67,750
92,3,14,260
93,33,47,500
94,5,13,160
95,68,80,840
96,42,49,640
97,33,52,820
98,36,100,790
99,34,70,800
100,40,70,840
101,56,86,890
102,28,54,850
103,20,93,560
104,51,73,900
105,21,77,620
106,8,44,900
107,44,63,390
108,45,106,780
109,20,31,320
110,44,67,790
111,19,100,820
112,16,55,650
113,33,110,740
114,33,104,450
115,47,71,880
116,5,60,430
117,23,39,380
118,55,115,640
119,16,68,850
120,23,42,340
121,7,25,320
122,38,116,870
123,1,15,190
124,37,119,640
125,4,56,340
126,47,95,590
127,60,62,850
128,45,93,620
129,12,82,500
130,13,24,800
131,46,65,900
132,41,111,610
133,12,18,710
134,32,119,900
135,41,104,500
136,45,72,590
137,23,90,900
138,46,62,900
139,49,112,600
140,3,117,760
141,83,85,880
142,32,94,440
